Ticker,Market Cap,P/E Ratio,Revenue,Net Income,Revenue_Growth_%,Market_Cap_Rank
AAPL,3890834833408,33.51,435617005568,117776998400,,2
MSFT,2962173984768,24.94,305453006848,119262003200,,4
AMZN,2237050126336,29.1,716923994112,77669998592,,5
NVDA,4435176587264,37.16,215938007040,120066998272,,1
GOOGL,3707972354048,28.33,402835996672,132169998336,,3
META,1653216247808,27.86,200965996544,60458000384,,6
BRK-B,1035887443968,15.36,371443990528,66967998464,,8
TSLA,1513430843392,370.02,94827003904,3793999872,,7
UNH,267158962176,22.29,447567003648,12056000512,,15
JNJ,599004479488,22.53,94193000448,26804000768,,11
JPM,802528952320,14.86,168235008000,55680999424,,9
V,617955983360,30.07,41391001600,20592001024,,10
PG,382079270912,24.22,85259001856,16161999872,,13
MA,464960028672,31.58,32790999040,14968000512,,12
HD,369145610240,26.04,164683005952,14156000256,,14
