Ticker,Market Cap,P/E Ratio,Revenue,Net Income
AAPL,3890834833408,33.50886,435617005568,117776998400
MSFT,2962173984768,24.94055,305453006848,119262003200
AMZN,2237050126336,29.10475,716923994112,77669998592
NVDA,4435176587264,37.16497,215938007040,120066998272
GOOGL,3707972354048,28.32902,402835996672,132169998336
META,1653216247808,27.858484,200965996544,60458000384
BRK-B,1035887443968,15.360525,371443990528,66967998464
TSLA,1513430843392,370.01834,94827003904,3793999872
UNH,267158962176,22.292517,447567003648,12056000512
JNJ,599004479488,22.534904,94193000448,26804000768
JPM,802528952320,14.855716,168235008000,55680999424
V,617955983360,30.066605,41391001600,20592001024
PG,382079270912,24.223703,85259001856,16161999872
MA,464960028672,31.575758,32790999040,14968000512
HD,369145610240,26.040028,164683005952,14156000256
